City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cape Town,ZA,66.88,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
1,Mataura,NZ,74.48,clear sky,-46.1927,168.8643,Ellie's Villa
2,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Jalu,LY,58.71,broken clouds,29.0331,21.5482,صاحبة الفخامة
4,Port Alfred,ZA,65.12,clear sky,-33.5906,26.891,The Halyards Hotel
5,Ukiah,US,55.02,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
6,Omboue,GA,77.59,light rain,-1.5746,9.2618,Hotel Olako
7,Puteyets,RU,24.94,overcast clouds,65.1716,57.091,"Sot ""Agrarnik"""
8,Daru,PG,80.35,overcast clouds,-9.0763,143.2092,Daru Lodge
9,Sao Filipe,CV,70.95,overcast clouds,14.8961,-24.4956,Hotel Xaguate
10,Natal,BR,80.82,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
11,Obera,AR,66.85,overcast clouds,-27.4871,-55.1199,CABAÑAS DORALIA
13,New Norfolk,AU,60.75,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
15,Hermanus,ZA,65.89,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
16,Rawson,AR,55.81,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
17,Jardim,BR,79.41,scattered clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
18,Poum,NC,82.63,few clouds,-20.2333,164.0167,
19,Ribeira Grande,PT,56.71,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
20,Jamestown,US,42.51,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
21,Carnarvon,AU,89.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
22,Leiyang,CN,34.32,snow,26.4024,112.8591,Dongyang Hotel
23,Aswan,EG,52.9,clear sky,24.0934,32.907,Nuba Nile
24,Mporokoso,ZM,60.82,light rain,-9.3727,30.125,Government Guest House
26,Castro,BR,63.25,clear sky,-24.7911,-50.0119,CHACARA BAILLY
28,Bichura,RU,5.85,overcast clouds,50.5881,107.6022,Gostinitsa Uyut
29,Jiuquan,CN,25.39,clear sky,39.7432,98.5174,Jiuquan Hotel
30,Nikolskoye,RU,30.79,overcast clouds,59.7035,30.7861,Tourist House - Sablino
31,Saint-Pierre,RE,85.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
32,Hanmer Springs,NZ,75.94,clear sky,-42.5167,172.8167,The Chalets Motel
33,Mahebourg,MU,81.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
34,Lafiagi,NG,78.3,overcast clouds,8.8667,5.4167,Bus group international
35,Peterborough,GB,40.24,few clouds,52.5736,-0.2478,Park Inn by Radisson Peterborough Hotel
36,Bluff,NZ,74.8,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
37,Busselton,AU,79.05,clear sky,-33.65,115.3333,Observatory Guest House
38,Pukhrayan,IN,54.84,clear sky,26.2333,79.85,Raj Guest House And Restaurant.
39,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
41,Kodiak,US,44.11,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
42,Linxia,CN,19.56,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
43,Puerto Ayora,EC,77.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
44,Hobart,AU,61.11,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
45,Beloha,MG,69.04,clear sky,-25.1667,45.05,
46,Ilhabela,BR,75.11,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
47,Ikire,NG,74.12,broken clouds,7.35,4.1833,"Albirr Charity Foundation, Islamiyyah, Ikire"
48,Ugoofaaru,MV,81.61,scattered clouds,5.6667,73.0,Ungoofaaru Inn
49,Piacabucu,BR,79.77,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
50,Nanortalik,GL,9.75,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
51,Ushuaia,AR,46.06,scattered clouds,-54.8,-68.3,Albatross Hotel
52,Vaini,TO,87.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
53,Mehamn,NO,22.55,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
54,Punta Arenas,CL,51.12,clear sky,-53.15,-70.9167,Hotel Hain
55,Port Elizabeth,ZA,62.89,clear sky,-33.918,25.5701,39 On Nile Guest House
56,Rikitea,PF,74.03,moderate rain,-23.1203,-134.9692,People ThankYou
57,Nome,US,17.67,snow,64.5011,-165.4064,Dredge 7 Inn
58,Khatanga,RU,19.78,light snow,71.9667,102.5,"""Khatanga"""
59,Qandala,SO,73.36,overcast clouds,11.472,49.8728,
60,Kahului,US,79.86,moderate rain,20.8947,-156.47,Maui Seaside Hotel
61,Sechura,PE,72.54,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
62,Tazovskiy,RU,16.39,light snow,67.4667,78.7,TazHostel
63,Dudinka,RU,18.63,overcast clouds,69.4058,86.1778,Hotel Viktoria
64,Villa Carlos Paz,AR,70.39,clear sky,-31.4241,-64.4978,Monte Carlo vcp
65,Abu Kamal,SY,51.55,scattered clouds,34.4506,40.9171,محطة التلفاز
66,Saint-Philippe,RE,85.59,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
67,Roald,NO,35.1,light rain,62.5833,6.1333,Flem Cabins
68,Baiyin,CN,25.68,overcast clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
69,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
70,Salalah,OM,69.89,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
71,Narsaq,GL,1.62,overcast clouds,60.9167,-46.05,Sleep In Narsaq
72,Bethel,US,34.16,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
73,Granville,AU,89.73,broken clouds,-33.8333,151.0167,Mercure Sydney Parramatta
74,Petropavlovsk-Kamchatskiy,RU,25.39,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
75,Gouyave,GD,77.77,few clouds,12.1646,-61.7296,Rumboat Retreat
76,Marsh Harbour,BS,71.51,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
77,Phan Thiet,VN,82.98,scattered clouds,10.9333,108.1,Hotel Saigon-PT
78,Portland,US,45.18,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
80,Santo Antonio Do Leverger,BR,77.38,overcast clouds,-15.8656,-56.0767,Chácara Do SINETRAN
81,Ambulu,ID,80.64,light rain,-8.345,113.6058,Hotel Ambulu Jember
82,Killam,CA,0.99,overcast clouds,52.7834,-111.8518,Wagon Wheel Motel
