City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,66.88,85,75,2.3,broken clouds
1,Mataura,NZ,-46.1927,168.8643,74.48,36,5,3.15,clear sky
2,Kapaa,US,22.0752,-159.319,78.78,63,0,19.57,clear sky
3,Jalu,LY,29.0331,21.5482,58.71,46,57,7.65,broken clouds
4,Port Alfred,ZA,-33.5906,26.891,65.12,81,2,9.19,clear sky
5,Ukiah,US,39.1502,-123.2078,55.02,61,0,6.91,clear sky
6,Omboue,GA,-1.5746,9.2618,77.59,85,100,4.09,light rain
7,Puteyets,RU,65.1716,57.091,24.94,95,100,9.8,overcast clouds
8,Daru,PG,-9.0763,143.2092,80.35,83,100,5.86,overcast clouds
9,Sao Filipe,CV,14.8961,-24.4956,70.95,72,89,9.62,overcast clouds
10,Natal,BR,-5.795,-35.2094,80.82,78,20,8.05,few clouds
11,Obera,AR,-27.4871,-55.1199,66.85,96,100,1.66,overcast clouds
12,Saint-Augustin,CA,51.226,-58.6502,-12.5,94,38,5.41,scattered clouds
13,New Norfolk,AU,-42.7826,147.0587,60.75,45,79,5.99,broken clouds
14,Yellowknife,CA,62.456,-114.3525,-19.44,72,40,4.61,light snow
15,Hermanus,ZA,-34.4187,19.2345,65.89,85,60,5.14,broken clouds
16,Rawson,AR,-43.3002,-65.1023,55.81,68,98,23.96,overcast clouds
17,Jardim,BR,-21.4803,-56.1381,79.41,47,39,5.73,scattered clouds
18,Poum,NC,-20.2333,164.0167,82.63,72,15,16.98,few clouds
19,Ribeira Grande,PT,38.5167,-28.7,56.71,58,36,7.16,scattered clouds
20,Jamestown,US,42.097,-79.2353,42.51,28,0,18.41,clear sky
21,Carnarvon,AU,-24.8667,113.6333,89.67,62,80,13.8,broken clouds
22,Leiyang,CN,26.4024,112.8591,34.32,99,100,5.64,snow
23,Aswan,EG,24.0934,32.907,52.9,54,0,8.05,clear sky
24,Mporokoso,ZM,-9.3727,30.125,60.82,97,100,2.46,light rain
25,Lavrentiya,RU,65.5833,-171.0,-1.55,87,100,8.01,overcast clouds
26,Castro,BR,-24.7911,-50.0119,63.25,83,7,3.62,clear sky
27,Iqaluit,CA,63.7506,-68.5145,-31.27,66,20,3.44,few clouds
28,Bichura,RU,50.5881,107.6022,5.85,95,99,2.62,overcast clouds
29,Jiuquan,CN,39.7432,98.5174,25.39,40,8,0.4,clear sky
30,Nikolskoye,RU,59.7035,30.7861,30.79,96,99,3.27,overcast clouds
31,Saint-Pierre,RE,-21.3393,55.4781,85.68,37,100,4.61,overcast clouds
32,Hanmer Springs,NZ,-42.5167,172.8167,75.94,45,0,4.23,clear sky
33,Mahebourg,MU,-20.4081,57.7,81.25,83,75,26.46,broken clouds
34,Lafiagi,NG,8.8667,5.4167,78.3,19,100,2.26,overcast clouds
35,Peterborough,GB,52.5736,-0.2478,40.24,77,20,24.16,few clouds
36,Bluff,NZ,-46.6,168.3333,74.8,61,1,10.31,clear sky
37,Busselton,AU,-33.65,115.3333,79.05,48,6,8.3,clear sky
38,Pukhrayan,IN,26.2333,79.85,54.84,53,0,5.21,clear sky
39,Georgetown,MY,5.4112,100.3354,85.93,81,20,3.44,few clouds
40,Tiksi,RU,71.6872,128.8694,-6.34,96,100,8.34,overcast clouds
41,Kodiak,US,57.79,-152.4072,44.11,70,0,0.0,clear sky
42,Linxia,CN,35.6003,103.2064,19.56,71,100,1.16,overcast clouds
43,Puerto Ayora,EC,-0.7393,-90.3518,77.56,92,42,4.0,scattered clouds
44,Hobart,AU,-42.8794,147.3294,61.11,49,75,21.85,broken clouds
45,Beloha,MG,-25.1667,45.05,69.04,79,0,7.29,clear sky
46,Ilhabela,BR,-23.7781,-45.3581,75.11,85,76,5.21,broken clouds
47,Ikire,NG,7.35,4.1833,74.12,88,58,1.9,broken clouds
48,Ugoofaaru,MV,5.6667,73.0,81.61,72,35,5.21,scattered clouds
49,Piacabucu,BR,-10.4056,-36.4344,79.77,78,38,10.25,scattered clouds
50,Nanortalik,GL,60.1432,-45.2371,9.75,70,100,14.56,overcast clouds
51,Ushuaia,AR,-54.8,-68.3,46.06,71,40,8.05,scattered clouds
52,Vaini,TO,-21.2,-175.2,87.96,84,40,9.22,scattered clouds
53,Mehamn,NO,71.0357,27.8492,22.55,79,100,4.99,overcast clouds
54,Punta Arenas,CL,-53.15,-70.9167,51.12,76,0,0.0,clear sky
55,Port Elizabeth,ZA,-33.918,25.5701,62.89,88,0,10.36,clear sky
56,Rikitea,PF,-23.1203,-134.9692,74.03,86,100,8.32,moderate rain
57,Nome,US,64.5011,-165.4064,17.67,79,100,23.02,snow
58,Khatanga,RU,71.9667,102.5,19.78,94,100,14.43,light snow
59,Qandala,SO,11.472,49.8728,73.36,82,100,3.2,overcast clouds
60,Kahului,US,20.8947,-156.47,79.86,84,40,12.66,moderate rain
61,Sechura,PE,-5.5569,-80.8222,72.54,82,90,6.17,overcast clouds
62,Tazovskiy,RU,67.4667,78.7,16.39,94,100,13.78,light snow
63,Dudinka,RU,69.4058,86.1778,18.63,92,100,18.79,overcast clouds
64,Villa Carlos Paz,AR,-31.4241,-64.4978,70.39,86,0,5.19,clear sky
65,Abu Kamal,SY,34.4506,40.9171,51.55,68,40,13.38,scattered clouds
66,Saint-Philippe,RE,-21.3585,55.7679,85.59,89,100,29.91,moderate rain
67,Roald,NO,62.5833,6.1333,35.1,93,100,11.5,light rain
68,Baiyin,CN,36.5583,104.2081,25.68,38,100,0.89,overcast clouds
69,Avarua,CK,-21.2078,-159.775,82.45,83,75,14.97,broken clouds
70,Salalah,OM,17.0151,54.0924,69.89,73,40,0.0,scattered clouds
71,Narsaq,GL,60.9167,-46.05,1.62,78,100,5.66,overcast clouds
72,Bethel,US,41.3712,-73.414,34.16,69,0,6.91,clear sky
73,Granville,AU,-33.8333,151.0167,89.73,44,75,13.8,broken clouds
74,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,46,75,15.66,broken clouds
75,Gouyave,GD,12.1646,-61.7296,77.77,78,20,14.97,few clouds
76,Marsh Harbour,BS,26.5412,-77.0636,71.51,66,99,16.82,overcast clouds
77,Phan Thiet,VN,10.9333,108.1,82.98,64,27,5.88,scattered clouds
78,Portland,US,45.5234,-122.6762,45.18,81,75,8.05,broken clouds
79,Luderitz,NA,-26.6481,15.1594,69.21,58,0,15.97,clear sky
80,Santo Antonio Do Leverger,BR,-15.8656,-56.0767,77.38,96,91,6.15,overcast clouds
81,Ambulu,ID,-8.345,113.6058,80.64,83,100,3.13,light rain
82,Killam,CA,52.7834,-111.8518,0.99,78,100,6.91,overcast clouds
83,Santa Lucia,ES,27.9117,-15.5407,52.77,71,40,6.91,scattered clouds
84,Sinnamary,GF,5.3833,-52.95,76.33,91,100,9.69,overcast clouds
85,Atuona,PF,-9.8,-139.0333,78.28,74,10,15.52,clear sky
86,Bubaque,GW,11.2833,-15.8333,76.77,70,7,10.22,clear sky
87,Coquimbo,CL,-29.9533,-71.3436,62.33,88,0,5.75,clear sky
